"emotion","polarity","score"
"unknown","positive",2
"unknown","negative",1
"unknown","negative",1
"unknown","positive",0
"joy","negative",2
"unknown","positive",0
"unknown","positive",1
"unknown","negative",0
"unknown","positive",0
"sadness","negative",1
"unknown","positive",0
"unknown","negative",0
"unknown","positive",1
"unknown","negative",2
"unknown","positive",1
"unknown","negative",1
"unknown","positive",0
"unknown","negative",1
"unknown","negative",1
"unknown","negative",1
"unknown","neutral",2
"unknown","positive",1
"unknown","positive",0
"unknown","negative",0
"joy","negative",-1
"unknown","positive",2
"unknown","positive",1
"unknown","positive",1
"unknown","positive",1
"unknown","positive",0
"unknown","positive",1
"unknown","positive",1
"unknown","positive",1
"unknown","positive",0
"unknown","positive",1
"joy","negative",2
"unknown","positive",0
"unknown","positive",0
"unknown","positive",0
"joy","positive",0
"unknown","positive",1
"unknown","positive",2
"unknown","positive",0
"unknown","positive",0
"joy","positive",1
"joy","neutral",1
"anger","positive",1
"unknown","positive",1
"unknown","negative",1
"unknown","positive",0
"unknown","positive",0
"joy","negative",0
"unknown","positive",1
"unknown","positive",0
"unknown","positive",0
"unknown","positive",0
"unknown","negative",1
"unknown","neutral",-1
"joy","negative",0
"fear","neutral",0
"unknown","negative",-1
"unknown","positive",0
"unknown","negative",1
"unknown","negative",-1
"unknown","negative",-1
"unknown","neutral",-1
"unknown","positive",0
"unknown","negative",1
"unknown","positive",1
"anger","positive",0
"unknown","negative",-2
"unknown","positive",0
"unknown","positive",0
"unknown","positive",0
"unknown","positive",0
"unknown","positive",1
"unknown","positive",0
"unknown","positive",1
"unknown","neutral",1
"anger","negative",1
"unknown","positive",1
"unknown","positive",0
"unknown","positive",0
"joy","positive",1
"unknown","positive",0
"unknown","positive",0
"unknown","positive",0
"anger","positive",0
"joy","neutral",2
"unknown","positive",1
"unknown","negative",1
"unknown","neutral",2
"unknown","positive",0
"unknown","positive",0
"joy","positive",3
"joy","positive",0
"joy","positive",1
"unknown","positive",1
"unknown","positive",1
"unknown","negative",-1
"joy","positive",3
"unknown","negative",-1
"unknown","positive",0
"unknown","negative",-1
"unknown","positive",0
"surprise","positive",1
"joy","neutral",0
"unknown","negative",1
"unknown","positive",0
"surprise","positive",1
"unknown","neutral",2
"unknown","positive",0
"unknown","negative",2
"joy","negative",-1
"unknown","positive",0
"unknown","positive",2
"unknown","negative",1
"unknown","positive",1
"joy","neutral",0
"unknown","neutral",2
"joy","positive",1
"unknown","negative",0
"joy","positive",1
"unknown","negative",1
"unknown","negative",0
"unknown","positive",1
"joy","negative",0
"unknown","negative",1
